Datum,Uhrzeit,Region,Strasse,Ort_PLZ,Tankstelle,Preis
2023-07-02 13:51:40,2023-07-02,76135,Eichelbergstr. 34,76189 Karlsruhe,Supermarkt Tankstelle,1.709
2023-07-02 13:51:40,2023-07-02,76135,Neureuter Str. 5,76185 Karlsruhe,AGIP ENI,1.719
2023-07-02 13:51:40,2023-07-02,76135,Rheinstr. 90-92,76185 Karlsruhe,Q1,1.719
2023-07-02 13:51:40,2023-07-02,76135,Wilhelm-Hausenstein-Allee 16,76187 Karlsruhe,AVIA,1.729
2023-07-02 13:51:40,2023-07-02,76135,Kaiserallee 12 g,76133 Karlsruhe,ARAL,1.729
2023-07-02 13:51:40,2023-07-02,76135,Östliche Rheinbrückenstr. 37 a,76187 Knielingen,AVIA,1.729
2023-07-02 13:51:40,2023-07-02,76135,Daxlander Str.  70 a,76185 Karlsruhe,bft,1.729
2023-07-02 13:51:40,2023-07-02,76135,Neureuter Str. 14,76185 Karlsruhe,Shell,1.729
2023-07-02 13:51:40,2023-07-02,76135,Fettweisstr. 8,76189 Karlsruhe,bft,1.729
2023-07-02 13:51:40,2023-07-02,76135,Lameystr.  7,76185 Karlsruhe,bft,1.729
2023-07-02 13:51:40,2023-07-02,76135,Rüppurrer Str. 102,76137 Karlsruhe,ZG Raiffeisen Energie,1.739
2023-07-02 13:51:40,2023-07-02,76135,Hardeckstr. 16,76185 Karlsruhe,"Eberhardt, Hardeckstraße, Karlsruhe",1.759
2023-07-02 13:51:40,2023-07-02,76135,Pulverhausstr. 38,76135 Karlsruhe,ESSO,1.769
2023-07-02 13:51:40,2023-07-02,76135,Rastatter Str. 116,76199 Karlsruhe,"Eberhardt, Rastatter Straße, Karlsruhe",1.769
2023-07-02 13:51:40,2023-07-02,76135,Battstr. 2,76199 Karlsruhe,bft,1.769
2023-07-02 13:51:40,2023-07-02,76135,Hertzstr. 2,76275 Ettlingen,bft,1.769
2023-07-02 13:51:40,2023-07-02,76135,Ebertstr. 32,76137 Karlsruhe,ARAL,1.779
2023-07-02 13:51:40,2023-07-02,76135,Waldhorn Str. 14-16,76137 Karlsruhe,ZG Raiffeisen Energie,1.789
2023-07-02 13:51:40,2023-07-02,76135,Durlacher Allee 46,76131 Karlsruhe,ARAL,1.789
2023-07-02 13:51:40,2023-07-02,76135,Hauptstr.  34 a,76287 Rheinstetten,AVIA,1.789
2023-07-02 13:51:40,2023-07-02,76135,Haid-und-Neu-Str. 30 a,76131 Karlsruhe,JET,1.789
2023-07-02 13:51:40,2023-07-02,76135,An der B 36 101,76287 Rheinstetten,OMV,1.789
2023-07-02 13:51:40,2023-07-02,76135,Haid-und-Neu-Str. 60,76131 Karlsruhe,ARAL,1.799
2023-07-02 13:51:40,2023-07-02,76135,Willy-Brandt-Allee 3,76131 Karlsruhe,bft,1.799
2023-07-02 13:51:40,2023-07-02,76135,Amalienstr. 55/59,76133 Karlsruhe,ARAL,1.799
2023-07-02 13:51:40,2023-07-02,76135,Linkenheimer Landstr. 102 a,76149 Karlsruhe,Shell,1.809
2023-07-02 13:51:40,2023-07-02,76135,Karlsruher Str. 50 a,76275 Ettlingen,ARAL,1.809
2023-07-02 13:51:40,2023-07-02,76135,Wolfartsweierer Str. 46,76137 Karlsruhe,bft,1.809
2023-07-02 13:51:40,2023-07-02,76135,Durlacher Allee  102,76137 Karlsruhe,TotalEnergies,1.819
2023-07-02 13:51:40,2023-07-02,76135,Brauerstr. 1 b,76133 Karlsruhe,ESSO,1.829
2023-07-02 13:51:40,2023-07-02,76135,Kriegsstr. 139,76135 Karlsruhe,OMV,1.839
2023-07-02 13:51:40,2023-07-02,75196,An der B 10,75196 Remchingen,bft,1.829
2023-07-02 13:51:40,2023-07-02,75196,Hauptstr. 149,76327 Söllingen,bft,1.829
2023-07-02 13:51:40,2023-07-02,75196,Bahnhofstr. 2,75196 Remchingen,ARAL,1.839
2023-07-02 13:51:40,2023-07-02,75196,Ankerstr. 64,75203 Königsbach-Stein,ARAL,1.839
2023-07-02 13:51:40,2023-07-02,75196,Sägmühlweg 21,75203 Königsbach-Stein,ZG Raiffeisen Energie,1.859
2023-07-02 13:57:48,2023-07-02,76135,Eichelbergstr. 34,76189 Karlsruhe,Supermarkt Tankstelle,1.709
2023-07-02 13:57:48,2023-07-02,76135,Hertzstr. 2,76275 Ettlingen,bft,1.719
2023-07-02 13:57:48,2023-07-02,76135,Hardeckstr. 16,76185 Karlsruhe,"Eberhardt, Hardeckstraße, Karlsruhe",1.729
2023-07-02 13:57:48,2023-07-02,76135,Pulverhausstr. 38,76135 Karlsruhe,ESSO,1.729
2023-07-02 13:57:48,2023-07-02,76135,Neureuter Str. 5,76185 Karlsruhe,AGIP ENI,1.729
2023-07-02 13:57:48,2023-07-02,76135,Östliche Rheinbrückenstr. 37 a,76187 Knielingen,AVIA,1.729
2023-07-02 13:57:48,2023-07-02,76135,Fettweisstr. 8,76189 Karlsruhe,bft,1.729
2023-07-02 13:57:48,2023-07-02,76135,Haid-und-Neu-Str. 30 a,76131 Karlsruhe,JET,1.749
2023-07-02 13:57:48,2023-07-02,76135,Wolfartsweierer Str. 46,76137 Karlsruhe,bft,1.749
2023-07-02 13:57:48,2023-07-02,76135,Rheinstr. 90-92,76185 Karlsruhe,Q1,1.749
2023-07-02 13:57:48,2023-07-02,76135,Wilhelm-Hausenstein-Allee 16,76187 Karlsruhe,AVIA,1.759
2023-07-02 13:57:48,2023-07-02,76135,Daxlander Str.  70 a,76185 Karlsruhe,bft,1.759
2023-07-02 13:57:48,2023-07-02,76135,An der B 36 101,76287 Rheinstetten,OMV,1.759
2023-07-02 13:57:48,2023-07-02,76135,Durlacher Allee  102,76137 Karlsruhe,TotalEnergies,1.759
2023-07-02 13:57:48,2023-07-02,76135,Lameystr.  7,76185 Karlsruhe,bft,1.759
2023-07-02 13:57:48,2023-07-02,76135,Waldhorn Str. 14-16,76137 Karlsruhe,ZG Raiffeisen Energie,1.769
2023-07-02 13:57:48,2023-07-02,76135,Rastatter Str. 116,76199 Karlsruhe,"Eberhardt, Rastatter Straße, Karlsruhe",1.769
2023-07-02 13:57:48,2023-07-02,76135,Rüppurrer Str. 102,76137 Karlsruhe,ZG Raiffeisen Energie,1.769
2023-07-02 13:57:48,2023-07-02,76135,Durlacher Allee 46,76131 Karlsruhe,ARAL,1.769
2023-07-02 13:57:48,2023-07-02,76135,Battstr. 2,76199 Karlsruhe,bft,1.769
2023-07-02 13:57:48,2023-07-02,76135,Amalienstr. 55/59,76133 Karlsruhe,ARAL,1.769
2023-07-02 13:57:48,2023-07-02,76135,Neureuter Str. 14,76185 Karlsruhe,Shell,1.769
2023-07-02 13:57:48,2023-07-02,76135,Kaiserallee 12 g,76133 Karlsruhe,ARAL,1.779
2023-07-02 13:57:48,2023-07-02,76135,Kriegsstr. 139,76135 Karlsruhe,OMV,1.789
2023-07-02 13:57:48,2023-07-02,76135,Hauptstr.  34 a,76287 Rheinstetten,AVIA,1.789
2023-07-02 13:57:48,2023-07-02,76135,Willy-Brandt-Allee 3,76131 Karlsruhe,bft,1.789
2023-07-02 13:57:48,2023-07-02,76135,Haid-und-Neu-Str. 60,76131 Karlsruhe,ARAL,1.799
2023-07-02 13:57:48,2023-07-02,76135,Ebertstr. 32,76137 Karlsruhe,ARAL,1.799
2023-07-02 13:57:48,2023-07-02,76135,Linkenheimer Landstr. 102 a,76149 Karlsruhe,Shell,1.809
2023-07-02 13:57:48,2023-07-02,76135,Brauerstr. 1 b,76133 Karlsruhe,ESSO,1.809
2023-07-02 13:57:48,2023-07-02,76135,Karlsruher Str. 50 a,76275 Ettlingen,ARAL,1.839
2023-07-02 13:57:48,2023-07-02,75196,Sägmühlweg 21,75203 Königsbach-Stein,ZG Raiffeisen Energie,1.809
2023-07-02 13:57:48,2023-07-02,75196,Bahnhofstr. 2,75196 Remchingen,ARAL,1.819
2023-07-02 13:57:48,2023-07-02,75196,An der B 10,75196 Remchingen,bft,1.869
2023-07-02 13:57:48,2023-07-02,75196,Ankerstr. 64,75203 Königsbach-Stein,ARAL,1.869
2023-07-02 13:57:48,2023-07-02,75196,Hauptstr. 149,76327 Söllingen,bft,1.869
2023-07-02 14:56:27,2023-07-02,76135,Eichelbergstr. 34,76189 Karlsruhe,Supermarkt Tankstelle,1.709
2023-07-02 14:56:27,2023-07-02,76135,Hardeckstr. 16,76185 Karlsruhe,"Eberhardt, Hardeckstraße, Karlsruhe",1.719
2023-07-02 14:56:27,2023-07-02,76135,Neureuter Str. 5,76185 Karlsruhe,AGIP ENI,1.719
2023-07-02 14:56:27,2023-07-02,76135,Hertzstr. 2,76275 Ettlingen,bft,1.719
